Brand,Model_Name,Launch_Year,RAM_GB,Storage_GB,Color,Price_INR,Battery_mAh,Back_Camera_MP,Front_Camera_MP,Processor,5G_Support,Image_URL,Avg_Rating,Total_Reviews,Positive_Reviews,Neutral_Reviews,Negative_Reviews,Review_Text
Apple,iPhone XR,2018,4,64,Black,48200,2942,12,7,A12 Bionic,No,https://www.google.com/search?tbm=isch&q=iPhone%20XR%20mobile%20phone,3.9,84,63,11,10,Battery performance is average. Camera is decent for normal use. User feedback is mixed. This phone does not have the best processor.
Apple,iPhone XR,2018,4,64,White,48200,2942,12,7,A12 Bionic,No,https://www.google.com/search?tbm=isch&q=iPhone%20XR%20mobile%20phone,4.5,175,133,25,17,Battery performance is average. Camera is decent for normal use. Overall user feedback is positive. This phone does not have the best processor.
Apple,iPhone XR,2018,4,64,Blue,48200,2942,12,7,A12 Bionic,No,https://www.google.com/search?tbm=isch&q=iPhone%20XR%20mobile%20phone,3.5,77,49,14,14,Battery performance is average. Camera is decent for normal use. User feedback is mixed. This phone does not have the best processor.
Apple,iPhone XR,2018,4,64,Yellow,48200,2942,12,7,A12 Bionic,No,https://www.google.com/search?tbm=isch&q=iPhone%20XR%20mobile%20phone,4.2,278,203,39,36,Battery performance is average. Camera is decent for normal use. Overall user feedback is positive. This phone does not have the best processor.
Apple,iPhone XR,2018,4,64,Red,48200,2942,12,7,A12 Bionic,No,https://www.google.com/search?tbm=isch&q=iPhone%20XR%20mobile%20phone,3.9,229,145,27,57,Battery performance is average. Camera is decent for normal use. User feedback is mixed. This phone does not have the best processor.
Apple,iPhone XR,2018,4,128,Black,51400,2942,12,6,A12 Bionic,No,https://www.google.com/search?tbm=isch&q=iPhone%20XR%20mobile%20phone,3.7,304,235,42,27,Battery performance is average. Camera is decent for normal use. User feedback is mixed. This phone does not have the best processor.
Apple,iPhone XR,2018,4,128,White,51400,2942,12,6,A12 Bionic,No,https://www.google.com/search?tbm=isch&q=iPhone%20XR%20mobile%20phone,4.6,427,322,85,20,Battery performance is average. Camera is decent for normal use. Overall user feedback is positive. This phone does not have the best processor.
Apple,iPhone XR,2018,4,128,Blue,51400,2942,12,6,A12 Bionic,No,https://www.google.com/search?tbm=isch&q=iPhone%20XR%20mobile%20phone,4,164,108,25,31,Battery performance is average. Camera is decent for normal use. User feedback is mixed. This phone does not have the best processor.
Apple,iPhone XR,2018,4,128,Yellow,51400,2942,12,6,A12 Bionic,No,https://www.google.com/search?tbm=isch&q=iPhone%20XR%20mobile%20phone,4.3,59,39,7,13,Battery performance is average. Camera is decent for normal use. Overall user feedback is positive. This phone does not have the best processor.
Apple,iPhone XR,2018,4,128,Red,51400,2942,12,6,A12 Bionic,No,https://www.google.com/search?tbm=isch&q=iPhone%20XR%20mobile%20phone,4.8,171,127,32,12,Battery performance is average. Camera is decent for normal use. Overall user feedback is positive. This phone does not have the best processor.
Apple,iPhone 11,2019,6,64,Black,48200,3110,12,12,A13 Bionic,No,https://www.google.com/search?tbm=isch&q=iPhone%2011%20mobile%20phone,4.5,423,297,78,48,Battery performance is average. Camera is decent for normal use. Overall user feedback is positive. Performance is suitable for daily usage.
Apple,iPhone 11,2019,6,64,White,48200,3110,12,12,A13 Bionic,No,https://www.google.com/search?tbm=isch&q=iPhone%2011%20mobile%20phone,3.3,403,286,55,62,Battery performance is average. Camera is decent for normal use. User feedback is mixed. Performance is suitable for daily usage.
Apple,iPhone 11,2019,6,64,Green,48200,3110,12,12,A13 Bionic,No,https://www.google.com/search?tbm=isch&q=iPhone%2011%20mobile%20phone,4.7,414,252,68,94,Battery performance is average. Camera is decent for normal use. Overall user feedback is positive. Performance is suitable for daily usage.
Apple,iPhone 11,2019,6,64,Yellow,48200,3110,12,12,A13 Bionic,No,https://www.google.com/search?tbm=isch&q=iPhone%2011%20mobile%20phone,4.5,470,353,89,28,Battery performance is average. Camera is decent for normal use. Overall user feedback is positive. Performance is suitable for daily usage.
Apple,iPhone 11,2019,6,64,Purple,48200,3110,12,12,A13 Bionic,No,https://www.google.com/search?tbm=isch&q=iPhone%2011%20mobile%20phone,3.7,390,238,46,106,Battery performance is average. Camera is decent for normal use. User feedback is mixed. Performance is suitable for daily usage.
Apple,iPhone 11,2019,6,64,Red,48200,3110,12,12,A13 Bionic,No,https://www.google.com/search?tbm=isch&q=iPhone%2011%20mobile%20phone,3.3,75,46,9,20,Battery performance is average. Camera is decent for normal use. User feedback is mixed. Performance is suitable for daily usage.
Apple,iPhone 11,2019,6,128,Black,51400,3110,12,12,A13 Bionic,No,https://www.google.com/search?tbm=isch&q=iPhone%2011%20mobile%20phone,3.9,346,250,67,29,Battery performance is average. Camera is decent for normal use. User feedback is mixed. Performance is suitable for daily usage.
Apple,iPhone 11,2019,6,128,White,51400,3110,12,12,A13 Bionic,No,https://www.google.com/search?tbm=isch&q=iPhone%2011%20mobile%20phone,4.1,342,212,67,63,Battery performance is average. Camera is decent for normal use. User feedback is mixed. Performance is suitable for daily usage.
Apple,iPhone 11,2019,6,128,Green,51400,3110,12,12,A13 Bionic,No,https://www.google.com/search?tbm=isch&q=iPhone%2011%20mobile%20phone,3.4,424,276,76,72,Battery performance is average. Camera is decent for normal use. User feedback is mixed. Performance is suitable for daily usage.
Apple,iPhone 11,2019,6,128,Yellow,51400,3110,12,12,A13 Bionic,No,https://www.google.com/search?tbm=isch&q=iPhone%2011%20mobile%20phone,3.3,463,366,84,13,Battery performance is average. Camera is decent for normal use. User feedback is mixed. Performance is suitable for daily usage.
